city_code,city_name
KHG,喀什市
KHI,卡拉奇
KHV,哈巴罗夫斯克
KIN,金斯敦
KIR,凯里郡
KIV,基希讷乌
KJA,克拉斯诺雅尔斯克
KKA,科尤克
KKE,凯里凯里
KKH,孔基加纳克
KKI,阿基亚查克
KKN,希尔克内斯
KLG,卡尔斯卡格
KLL,莱弗洛克
KLO,卡利博
KLR,卡尔马
KLU,克拉根福特
KLX,卡拉马塔
KMO,马诺科塔克
KMQ,小松
KNK,卡克霍纳克
KNW,新斯图亚霍克
KOI,柯克沃尔
KOP,佛统
KOS,西哈努克城
KPN,基普努克
KPV,佩里维尔
KRK,克拉特夫
KRN,基律纳
KRP,卡鲁普
KRR,克拉斯诺达尔
KRS,克里斯蒂安桑
KSM,圣马丽斯
KSO,卡斯托里亚
KSU,克里斯蒂安松
KTN,凯奇坎
KTS,布雷维格（泰勒）传教区
KTT,基蒂拉
KTW,卡托维茨
KUA,关丹
KUF,萨马拉
KUK,阿尔缪特
KUN,考纳斯
KUO,库奥皮欧
KVA,卡瓦拉
KVC,金科夫
KVD,兼德扎
KVL,基瓦利纳
KWI,科威特
KWJ,光州
KWK,奎吉林戈克
KWN,昆哈加克
KWT,奎斯芦克
KXA,卡萨
KYA,科尼亚
KYU,科尤库克
KZI,科扎尼
KZN,喀山
LAN,兰辛
LAW,劳顿
LBA,利兹
LBB,拉伯克
LBE,拉特罗布
LBF,北普拉特
LBL,利伯勒尔
LBU,拉布安
LCA,拉纳卡(拉纳克斯)
LCG,拉科鲁利亚
LCH,莱克查尔斯
LCJ,罗兹
LDE,卢尔德/塔布
LEB,莱巴嫩
LED,圣彼得堡
LEI,阿尔梅里亚
LEJ,莱比锡
LEX,莱克星顿
LFT,拉菲特
LGB,长滩
LGG,烈日
LGP,莱加斯皮
LHE,拉合尔
LIL,里尔
LIM,利马
LIR,利韦里亚
LIS,里斯本
LIT,小石城
LJU,卢布尔雅那
LKN,莱克讷斯
LKO,勒克瑙
LLA,吕勒奥
LMA,莱克明丘米纳
LMT,克拉马斯福尔斯
LNK,林肯
LNS,兰卡斯特
LNY,拉奈
LNZ,林茨
LOP,龙目岛
LOS,拉各斯
LPA,拉斯帕尔马斯
LPB,拉巴斯
LPI,林雪平
LPL,利物浦
LRD,拉雷多
LRM,拉罗马纳
LSC,拉塞雷纳
LSE,拉克鲁斯
LST,朗塞斯顿
LTT,圣爵菲斯
LUG,卢加诺
LUL,劳莱尔
LUR,开普利斯本
LUX,卢森堡
LVI,利文斯通
LWB,刘易斯堡
LWO,里沃夫
LWS,刘易斯顿
LXR,卢克索
LXS,利姆诺斯岛
LYH,林奇堡
LYR,朗伊尔城
LYS,里昂
Liangping,梁平
MAA,金奈
MAD,马德里
MAF,米德兰
MAH,梅诺卡
MAN,曼彻斯特
MAO,马瑙斯
MBA,蒙巴萨
MBJ,蒙特哥贝
MBL,马尼斯蒂
MBS,萨吉诺
MCE,默塞德
MCG,麦格拉斯
MCK,麦库克
MCN,马孔
MCT,马斯喀特
MCW,梅森城
MCY,马鲁奇多
MCZ,马塞约
MDE,麦德林
MDQ,马德普拉塔
MDZ,门多萨
MED,麦迪纳
MEI,默里迪恩
MEM,孟菲斯
MES,棉兰
MEX,墨西哥城
MFE,迈克艾伦
MFR,梅德福
MGA,马那瓜
MGF,马林加
MGM,蒙哥马利
MGW,摩根敦
MHD,马什哈德
MHG,曼海姆
MHK,曼哈顿
MID,梅里达
MIR,莫纳斯提尔
MJT,米蒂利尼
MJV,穆尔西亚
MKC,堪萨斯城
MKE,密尔沃基
MKG,马斯基根
MKZ,马六甲
MLA,马耳他
MLE,马累
MLH,米卢斯
MLI,莫林
MLL,马歇尔
MLM,莫雷利亚
MLO,米洛斯
MLU,门罗
MLY,曼利温泉
MMA,马尔默
MMB,女满别
MME,达勒姆提斯瓦雷
MMH,马默斯莱克斯
MMK,摩尔曼斯科
MNT,明托
MOB,莫比尔
MOD,莫德斯托
MOL,莫尔德
MOT,迈诺特
MOU,芒廷村
MPH,卡提克兰
MPL,蒙彼利埃
MQT,马凯特
MRS,马赛
MRU,毛里求斯
MRY,蒙特雷
MSL,马斯尔肖尔斯
MSN,麦迪逊
MSP,明尼阿波利斯
MSQ,明斯克
MST,马斯垂克
MSY,新奥尔良
MTH,马拉松
MTJ,蒙特罗斯
MUE,卡姆也拉
MVD,蒙得维的亚
MVY,马萨葡萄园
MWA,马里恩
MWH,摩塞斯莱克
MYQ,迈索尔
MYR,默特尔比奇
MYU,梅克茹余克
MZL,马尼萨莱斯
NAG,那格浦尔
NAN,楠迪
NAS,拿骚
NAT,纳塔尔
NAV,内夫谢希尔
NBC,卡马河畔切尔尼
NBE,恩菲达
NBO,内罗毕
NCE,尼斯
NCL,纽卡斯尔
NCP,吕宋岛
NCY,安奈斯
NDY,桑代
NGO,名古屋
NGS,长崎
NHA,芽庄
NLG,纳尔逊拉戈
NME,奈特缪特
NNL,农多尔顿
NOC,康诺特
NPE,纳皮尔-黑斯廷斯
NQT,诺丁汉
NQY,纽基
NRK,诺尔雪平
NRL,北罗纳德赛（岛）
NSN,尼尔森
NTE,南特
NUE,纽伦堡
NUI,诺伊克索特
NUL,努拉托
NUP,纽纳皮兹
NVK,纳尔维克
NVT,纳韦甘蒂斯
NWI,诺维奇
NYU,良乌
OAJ,杰克逊维尔
OAX,瓦哈卡
OBU,科伯克
ODS,欧德萨
OGD,奥格登
OHD,奥赫里德
OKA,冲绳
OKC,俄克拉何马城
OLB,奥尔比亚
OMA,奥马哈
OME,诺姆
OMS,鄂木斯克
ONT,安大略
OOK,托克苏克
OOL,黄金海岸
OPO,波尔图
ORB,厄勒布鲁
ORF,诺福克
ORH,伍斯特
ORK,科克
ORN,奥兰
OSD,厄斯特松德
OSR,俄斯特拉伐
OTD,康塔多拉
OTH,北本德
OTZ,科策布
OUL,奥卢
OVB,新西伯利亚
OVD,阿斯图里亚斯
OWB,欧文斯伯勒
OXR,奥克斯纳德
OZH,扎波罗热
PAD,帕特泊恩
PAH,帕迪尤卡
PAS,帕罗斯
PAT,巴特那
PBI,西棕榈滩
PDB,佩得罗贝
PDL,蓬塔德尔加达
PDP,埃斯特角城
PDX,俄勒冈州·波特兰
PEE,彼尔姆
PEG,佩鲁贾
PEI,佩雷拉
PER,珀斯
PEW,白沙瓦
PFN,帕纳马城
PFO,帕福斯
PGA,佩奇
PGD,蓬塔戈尔达
PGF,佩皮尼扬
PGM,格雷厄姆港
PGV,格林维尔
PHF,汉普顿
PHO,波因特霍普
PHS,彭世洛
PHX,凤凰城
PIA,皮奥里亚
PIE,圣彼得斯堡
PIH,波卡特洛
PIP,派勒特波因特
PIR,皮尔
PIT,匹兹堡
PIZ,波因特莱
PKA,纳帕斯杰克
PKB,帕克斯堡
PLM,巨港
PLN,佩尔斯顿
PLQ,克莱柏特
PLZ,伊丽莎白港
PMC,蒙特港
PMI,帕尔马
PMO,巴勒莫
PMR,北帕默斯顿
PMY,马德林港
PNA,潘普洛纳
PNQ,浦那
PNS,彭萨科拉
PNY,本地治里
POA,阿雷格里港
POM,泊特莫尔斯比港
POP,普拉塔港
POZ,波兹南
PPP,普罗瑟派恩
PPS,普林塞萨港
PPW,帕帕韦斯特雷
PQC,富国岛
PQS,派勒特斯泰特
PRC,普雷斯科特
PRG,布拉格
PRI,普拉兰岛
PSA,比萨
PSE,蓬塞
PSG,彼得斯堡
PSP,帕姆斯普林斯
PSR,佩斯卡拉
PTH,海登港
PTU,普拉蒂纳姆
PTY,巴拿马城
PUB,普韦布洛
PUF,波城
PUJ,蓬塔卡纳
PUQ,阿雷纳斯角
PUS,釜山
PUW,普尔曼
PUY,普拉
PVC,普罗温斯敦
PVD,普罗维登斯
PVK,普雷韦扎莱夫卡斯
PVR,巴亚尔塔港
PVU,普罗沃
PWM,缅因州·波特兰
PXM,埃斯康德港
PXO,圣港
PXU,波来古
QBC,贝拉库尔
RAK,马拉喀什
RAP,拉皮德城
RAR,拉罗汤加
RBA,拉巴特
RBY,鲁比
RCB,里查兹贝
RDD,雷丁
RDM,雷德蒙德
RDU,罗利
RDV,雷德代夫尔
REC,累西腓
REG,雷焦卡拉布里亚
REK,雷克亚未克
REL,特雷利乌
REP,暹粒
REU,雷乌斯
REX,雷诺萨
RFD,罗克福德
RHI,莱因兰德
RHO,罗得岛
RIC,里士满
RIO,里约热内卢
RIW,里弗顿
RIX,里加
RJK,里耶卡
RJL,洛格罗尼奥
RKD,罗克兰
RKS,罗克斯普林顿
RKT,哈伊马角
RLG,罗斯托克
RMF,阿莱姆港
RMI,里米尼
RMP,兰帕特
RNB,隆内比
RNN,波荷木岛
RNO,里诺
RNS,雷恩
ROA,罗阿诺克
ROC,罗切斯特
ROT,罗托鲁瓦
ROV,罗斯托夫
ROW,罗斯韦尔
RPR,赖布尔
RSH,俄罗斯教区
RTM,鹿特丹
RTW,萨拉托夫
RUH,利雅得
RUN,圣丹尼斯
RUT,拉特兰
RVN,罗凡涅米
RZE,热舒夫
SAC,萨克拉门托
SAF,圣达菲
SAK,绍达克卢库
SAL,圣萨尔瓦多
SAO,圣保罗
SAP,圣佩德罗苏拉
SAT,圣安东尼奥
SAV,萨凡纳
SBA,圣巴巴拉
SBN,南本德
SBY,索尔兹伯里
SBZ,锡比乌
SCC,死马镇
SCE,斯泰特科利奇
SCK,斯托克顿
SCM,斯卡曼门湾
SCN,萨尔布吕肯
SCQ,圣地亚哥德
SCU,圣地亚哥
SCV,苏恰瓦
SDF,路易斯威尔
SDJ,仙台
SDK,山打根
SDP,沙点市
SDQ,圣多明戈
SDR,桑坦德
SEZ,马埃岛
SFE,圣费尔南多
SFT,谢莱夫特奥
SGC,苏尔古特
SGU,圣乔治
SGY,史凯威
SHD,斯丹顿
SHG,术古纳克
SHJ,沙迦
SHR,谢里丹
SHV,什里夫波特
SHX,沙格鲁
SID,撒尔
SIP,辛菲罗波尔
SIT,夕卡
SJD,圣荷西
SJJ,萨拉热窝
SJK,杜斯坎普斯
SJO,圣何塞
SJT,圣安格鲁
SJU,圣胡安
SKB,圣基茨
SKG,塞萨洛尼基
SKK,沙克突利
SKN,斯托克马克内斯
SKP,斯科普里
SLA,萨尔塔
SLC,盐湖城
SLE,塞伦
SLL,塞拉莱
SLN,萨莱纳
SLP,圣路易斯波托西
SLQ,斯丽特木德
SLU,圣卢西亚
SMI,萨莫斯
SMK,圣迈克尔
SMR,圣马尔塔
SMX,圣马丽亚
SNA,圣塔安那
SNN,香农
SNP,圣保罗岛
SOF,索非亚
SOU,南安普敦
SOV,塞尔多维亚
SOW,肖罗
SOY,斯特旺塞
SPC,圣克鲁斯
SPK,札幌
SPN,塞班
SPU,斯普利特
SRE,苏克雷
SRQ,萨拉索塔
SRV,史东尼河
SSA,萨尔瓦多
SSH,沙姆沙伊赫湾
SSI,布劳恩斯魏克
SSJ,桑内舍恩
SSM,苏珊玛利
SSX,萨姆松
STC,圣克劳德
STL,圣路易斯
STR,斯图加特
STS,圣罗莎
STV,苏拉特古加拉特
SUB,泗水
SUF,拉默齐亚
SUN,太阳谷
SUV,苏瓦
SUX,苏城
SVA,萨文加
SVC,银城
SVQ,塞维利亚
SVS,史蒂芬斯威里奇
SVX,叶卡捷琳堡
SWF,纽堡
SXB,斯特拉斯堡
SXP,谢尔登波因特
SYR,锡拉丘兹
SYY,斯托诺韦
SZG,萨尔茨堡
Shanshan,鄯善
TAB,多巴哥岛
TAE,大邱
TAG,塔比拉兰
TAL,塔那那
TAS,塔什干
TBS,第比利斯
TCI,特内里费
TCL,塔斯卡卢萨
TCT,塔克特纳
TDX,桐艾府
TEB,泰德包罗
TEX,特柳莱德
TFF,特费
TGD,波德戈里察
TGG,瓜拉丁加奴
TGU,特古西加尔巴
TGZ,图斯特拉-古铁雷斯
THE,特雷西纳
THR,德黑兰
TIA,提拉纳
TIV,蒂瓦特
TKJ,括克
TKU,图尔库
TLA,泰勒
TLC,托卢卡
TLH,塔拉哈西
TLL,塔林
TLN,土伦
TLS,图卢兹
TLT,图鲁克萨克
TLV,特拉维夫
TMK,三歧
TMP,坦佩雷
TNG,丹吉尔
TNK,图努纳克
TNR,塔拿那利佛
TOF,托木斯克
TOG,托盖克
TOL,托莱多
TOS,特罗姆瑟
TOY,富山
TPA,坦帕
TPS,特拉帕尼
TRD,特隆赫姆
TRE,泰里岛因纳赫布里德斯
TRF,山达霍得
TRG,陶朗阿加
TRN,都灵
TRS,的里雅斯特
TRV,提鲁瓦南萨普拉姆
TRZ,蒂鲁吉拉伯利
TSE,阿斯塔纳
TSM,陶斯
TSR,蒂米什瓦拉
TST,董里
TTN,特伦顿
TUL,塔尔萨
TUN,突尼斯
TUO,陶波
TUP,吐丕洛
TUS,图森
TVC,特拉弗斯城
TVF,小偷河瀑布市
TWF,特温福尔斯
TWU,斗湖
TYS,诺克斯威尔
TZX,特拉布宗
UBA,乌贝拉巴
UDR,乌代布尔
UFA,乌法
UIN,昆西
UIO,基多
UKB,神户
UKK,乌斯季卡缅诺戈尔斯克
UKY,京都
ULN,乌兰巴托
UME,于默奥
UNK,乌纳拉克里
UNN,拉廊
USH,乌斯怀亚
USU,布山加
UUD,乌兰乌德
UUS,南萨哈林斯克
VAA,瓦萨
VAR,瓦尔纳
VBY,维斯堡
VCE,威尼斯
VDA,奥瓦达
VDE,巴尔维德
VDH,洞海
VDS,瓦德瑟
VDZ,瓦代兹
VEE,威尼泰
VEL,维尔诺
VER,韦拉克鲁斯
VFA,维多利亚大瀑布
VGO,维哥
VIE,维也纳
VII,荣市
VIS,维塞利亚
VIT,维托里亚
VLC,瓦伦西亚
VLD,弗多斯塔
VLL,巴利阿多里德
VNO,维尔纽斯
VNS,菠罗奈斯
VOG,伏尔加格勒
VOL,佛洛斯
VPS,华尔顿堡
VRA,瓦拉德
VRN,维罗纳
VSA,比亚埃尔莫萨
VTZ,维萨卡帕特南
VVO,海参崴
VXE,圣维森特
VXO,韦克舍
WAA,威尔士
WAW,华沙
WBB,阿拉斯加特宾斯
WBQ,比弗
WDH,温德和克
WIC,威克
WKK,阿勒纳季克
WLG,惠灵顿
WLK,阿拉斯加萨拉维克
WRE,旺阿雷
WRG,兰格尔
WRO,弗罗茨瓦夫
WRY,韦斯特雷
WSN,南纳克内克
WTL,通图图里阿克
WVB,鲸湾港
WWT,钮特克
XRY,赫雷斯
Xingcheng,兴城
Xingning,兴宁
YAM,苏圣玛丽
YAZ,图芬诺
YBA,班夫
YBL,坎贝尔河
YBR,布兰顿
YCD,纳奈莫
YDA,道森
YEA,埃德蒙顿
YEI,布尔萨
YEV,伊努维克
YGO,各沃斯奈罗
YHD,柴登
YHZ,哈里法克斯
YIV,艾兰湖/加登希尔
YKA,坎卢普斯
YKM,雅吉瓦
YNG,扬斯敦
YNO,贝斯比利湖
YOC,老乌鸦
YOH,牛津屋
